   PID TTY      STAT   TIME COMMAND
   824 ?        Ssl    0:11 /usr/sbin/NetworkManager --no-daemon
  1158 ?        Ssl    0:20 /usr/bin/python -Es /usr/sbin/tuned -l -P
  1161 ?        Ss     0:00 /usr/sbin/sshd -D
  1163 ?        Ssl    0:11 /usr/sbin/rsyslogd -n
  1166 ?        Ss     0:00 /usr/sbin/cupsd -f
  1172 ?        Ssl    0:01 /usr/sbin/libvirtd
  1178 ?        Ss     0:00 /usr/sbin/atd -f
  1184 ?        Ss     0:01 /usr/sbin/crond -n
  1185 ?        Ssl    0:00 /usr/sbin/gdm
  1337 tty1     Ssl+   0:20 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-dLjgSV/database -seat seat0 -nolisten tcp vt1
  1388 ?        Ss     0:02 /usr/libexec/postfix/master -w
  1390 ?        S      0:00 qmgr -l -t unix -u
  1702 ?        Ssl    0:00 /usr/libexec/upowerd
  1774 ?        Ssl    0:09 /usr/libexec/packagekitd
  1787 ?        Ss     0:01 /usr/sbin/wpa_supplicant -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -P /var/run/wpa_supplicant.pid
  1862 ?        Ssl    0:00 /usr/libexec/colord
  2011 ?        S      0:01 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
  2012 ?        S      0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
  2059 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
  2071 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
  2076 ?        Sl     0:03 ibus-daemon --xim --panel disable
  2081 ?        Sl     0:00 /usr/libexec/ibus-dconf
  2085 ?        Sl     0:01 /usr/libexec/ibus-x11 --kill-daemon
  2092 ?        Ssl    0:01 /usr/libexec/gnome-session-binary --session gnome-classic
  2103 ?        S      0:00 dbus-launch --sh-syntax --exit-with-session
